Market ID;Result;Invested ($);PnL ($);PnL (%);Win;Loss
0x390f6efff3d6debc048233a9ddb5934fd7fd57ab3bd3f53dd9348cc9477cca62;WIN;77,55;12,94;16.68;1;0
0xd6533e51fef18b0567770175181f2c177ad2fa72da3edc9884363810a3be4eef;WIN;104,44;13,12;12.56;1;0
0x1ca7fbe49b5e1769aea6bade5e486547e1ec5280cca24a5a36c55e3071a616f8;WIN;61,15;10,61;17.36;1;0
0x42050d60c15f450f1a26768cbb16822a676b0cba8000f2519953030dcdb37d7b;WIN;94,28;14,32;15.19;1;0
0x95330ad19653a1820ea014c0e6c9f44d2d314660eea95835da93b4a5d1ccc37f;WIN;20,01;2,84;14.21;1;0
0x2f1ef5e6c6fc4406e1d987e1b8fb7be3c3780c593aa686d1b56ef3654084939f;WIN;17,53;2,34;13.32;1;0
0x6baa7bddcb58ed569fba5022ad7793ea429f6c5fd3f44f93a5aaa667bbe6a2b0;WIN;13,58;2,46;18.09;1;0
0xc25c5a15586c2c664380acd97def6493fbec163b18bc5a294b7321c1652383bd;WIN;103,12;17,10;16.58;1;0
0xee244aea04db1e9bcf84403e3ff11b282d6046c5f50eaf02b86e388bd4942c87;WIN;102,30;13,77;13.46;1;0
0xf6fca1d77df80442ab83730c9f9eff31acecfe8d4ff1755bd186ebcd68fd0682;LOSS;95,05;-57,27;-60.25;0;1
0x7ebf1cfc235dc1f37b54baa0e4799bcc1baef51cd3f8b2896b6c36d687e51a7a;WIN;62,13;11,33;18.23;1;0
0x824abcdbdcc29ccffd0e00a4d21f322505d6099a1cc5beb9da0e0a2ef3ba6aed;WIN;23,79;4,05;17.04;1;0
0xacf5c0771378186bff9580a58c805d2a4c61fd6098cab31b2627af360a686484;WIN;33,47;6,12;18.30;1;0
0xd6f16d498d1aced61fa5a5726e6c073acb5f96b338bb0a174f3cbf4d661a6a1b;WIN;55,89;8,48;15.17;1;0
0xa79561fc8844345c5a624c47fb52fed84bd1f4434db9e51095b3725fa0cb7ba8;WIN;18,37;2,59;14.12;1;0
0xca17bea16e85a4ca8c9bceba7b250eacf04646798d152673201c702785c039f8;WIN;15,39;2,12;13.76;1;0
0xdb04d6eeba9d6a22aad1d2f0b1267165862e5ffa637759c69e67048003dc2b9c;WIN;17,57;3,06;17.43;1;0
0x370e1f87de7ecbcc292b8af888c6627f0ba22ca24593ff574f0b956efae9e4fb;WIN;16,39;2,62;15.95;1;0
0x0280442eaab18df92b115b2b594b6b474a69d30227057d935d874928acfb21af;LOSS;59,63;-30,92;-51.85;0;1
0x2054ac07de1009ff1cec2463b638afef12724d652f1c404f4edd72fb4af3bc6e;WIN;101,85;9,81;9.63;1;0
0x655bf410822f9391eb3bfbaab4f71f4afd318e486886366dafa371a17f3d4700;WIN;104,62;10,55;10.08;1;0
0x5b6ca04d2e62f5b761e5287de6df5873b2371800e680f3a3c235fccdde1cac3a;WIN;23,28;3,68;15.78;1;0
0xe2f4b65b94a49c474232c73c0be6c2ad180955a3e260281cb9e28bd7447cf879;WIN;96,61;8,55;8.85;1;0
0x58f6b01305baae95dbfb279cbc07ff44d64bfd07f97058c1e76d36b2ec842af8;WIN;97,75;3,81;3.90;1;0
0x7efb5f325e005c5926b4f978d3c06bbedf70344636735e03d7b48358af93e2f7;LOSS;79,76;-45,68;-57.27;0;1
0xba44571ac9515b8bfff98aeddd624912eec92345badf61c254e9650d103d96f8;WIN;82,29;8,07;9.81;1;0
0xef605a278c21c644512c6465309a496733577f2ec762d9e2d1da213644e53a83;WIN;59,63;10,19;17.09;1;0
0x008292581549cb8e2dfd1b7f4c6d5bc1b48ba17c46a90b31da1ab71cd9bc0f85;WIN;75,14;12,71;16.92;1;0
0xb7378bb6347ba5787a0258861f37f583590d5df791aa207eb95dd786f4612319;WIN;22,29;3,55;15.94;1;0
0xf20209ed9f34e40dd1e2a61d4d654d0f02d38e5024bec6c244447ea6ed6e6364;WIN;50,21;8,64;17.20;1;0
0xf3ad77d42c255423b930d14358b9fde8abe514dbc72a13f2e0e8f7c5b3985a02;WIN;109,22;13,16;12.05;1;0
0x25c5449f94ca887337ae0558cd12ce8261effcfcc520366a982175de39f1abd6;WIN;21,04;3,24;15.41;1;0
0x7bba2ef9c1bb9941527ba00f65b7c2983916d6d3531c0fd5edd162be6fc88949;WIN;94,38;14,61;15.48;1;0
0xe35cc337d932b607706c281d7ea99a6cd9e5cebb86f8324716d20af49af99208;WIN;96,61;1,12;1.16;1;0
0xe81a7d42315d04cb4f2a9429fc67bc7e16ea226005a54cfdecddcfd62257be3d;WIN;97,15;9,90;10.19;1;0
0x694dfb969e974049926bef83fe9a96e9d467e4d299c81beffcea1bde94af839d;WIN;13,45;1,85;13.79;1;0
