Entry Price;Hedge50 Profit;RF Profit;Arb Profit;Budget Limit;Risk Threshold;Target Loss;Total PnL ($);Total Invested ($);Entry size;Wins;Losses;Total Markets
0,42;0,21;0,05;0,25;80;-0,5;-0,08;38,15;19973,21;15;360;60;420
0,42;0,01;0,05;0,25;60;-0,3;0,05;37,61;12488,86;10;374;46;420
0,42;0,01;0,05;0,25;60;-0,3;-0,01;37,44;12484,98;10;373;47;420
0,42;0,11;0,05;0,25;60;-0,3;-0,08;37,15;13486,24;10;367;53;420
0,42;0,21;0,05;0,25;80;-0,5;-0,01;36,64;19980,87;15;360;60;420
0,42;0,16;0,1;0,3;105;-0,5;-0,01;35,92;24832,77;10;353;67;420
0,42;0,21;0,05;0,25;80;-0,5;0,05;35,9;19986,93;15;361;59;420
0,42;0,05;0,1;0,3;60;-0,5;0,05;35,85;16124,5;10;337;83;420
0,42;0,11;0,05;0,25;60;-0,3;-0,01;35,54;13492,48;10;367;53;420
0,42;0,11;0,05;0,25;60;-0,3;0,05;34,98;13497,06;10;368;52;420
0,42;0,16;0,1;0,35;60;-0,3;-0,08;34,34;17575,53;10;331;89;420
0,42;0,16;0,1;0,3;80;-0,3;-0,08;33,65;22860,41;15;332;88;420
0,42;0,16;0,05;0,2;105;-0,5;-0,08;33,63;17460,58;10;385;35;420
0,42;0,05;0,15;0,25;60;-0,5;0,05;31,61;16197,05;10;333;87;420
0,42;0,16;0,05;0,35;80;-0,3;-0,08;31,6;21523,77;15;351;69;420
0,42;0,16;0,1;0,3;105;-0,3;-0,01;31,49;24837,2;10;353;67;420
0,42;0,16;0,1;0,35;60;-0,3;-0,01;31,34;17582,93;10;331;89;420
0,42;0,01;0,05;0,3;60;-0,3;0,05;31,03;15866,38;15;359;61;420
0,42;0,21;0,15;0,3;80;-0,3;-0,08;30,91;24173,55;15;318;102;420
0,42;0,01;0,05;0,3;60;-0,3;-0,01;29,92;15859,68;15;357;63;420
0,42;0,05;0,15;0,25;60;-0,3;-0,08;29,59;16216,08;10;332;88;420
0,42;0,11;0,1;0,2;105;-0,3;0,05;29,35;21591,49;10;367;53;420
0,42;0,11;0,1;0,25;80;-0,5;-0,01;29,11;21515,97;15;338;82;420
0,42;0,16;0,05;0,2;105;-0,5;-0,01;28,98;17465,23;10;385;35;420
0,42;0,11;0,1;0,35;105;-0,5;0,05;28,56;29763,78;15;334;86;420
0,42;0,05;0,1;0,3;60;-0,3;0,05;28,42;16131,93;10;337;83;420
0,42;0,21;0,05;0,25;80;-0,5;-0,08;28,37;16806,68;10;372;48;420
0,42;0,21;0,05;0,2;60;-0,5;-0,01;28,3;16471,23;15;360;60;420
0,42;0,21;0,05;0,2;60;-0,5;0,05;28,21;16475,29;15;361;59;420
0,42;0,01;0,05;0,3;60;-0,3;-0,08;28,17;15852,4;15;357;63;420
0,42;0,21;0,05;0,25;80;-0,3;-0,08;28,17;19983,19;15;360;60;420
0,42;0,11;0,1;0,25;80;-0,5;-0,08;28,07;21511,02;15;338;82;420
0,42;0,05;0,1;0,3;80;-0,5;-0,01;28,01;22315,32;15;333;87;420
0,42;0,11;0,1;0,25;80;-0,5;0,05;27,98;21522,26;15;339;81;420
0,42;0,16;0,05;0,2;105;-0,3;-0,08;27,96;17466,25;10;385;35;420
0,42;0,21;0,05;0,2;60;-0,5;-0,08;27,95;16466,98;15;360;60;420
0,42;0,21;0,15;0,3;80;-0,5;0,05;27,9;24167,61;15;318;102;420
0,42;0,16;0,05;0,2;105;-0,5;0,05;25,9;17468,31;10;385;35;420
0,42;0,21;0,05;0,25;80;-0,3;-0,01;25,89;19991,62;15;360;60;420
0,42;0,16;0,1;0,3;105;-0,5;0,05;25,83;24842,86;10;352;68;420
0,42;0,01;0,05;0,3;60;-0,5;-0,08;24,48;15844,48;15;358;62;420
0,42;0,16;0,1;0,3;105;-0,3;0,05;24,38;24844,31;10;352;68;420
0,42;0,21;0,05;0,25;80;-0,3;0,05;24,22;19998,61;15;361;59;420
0,42;0,21;0,15;0,3;80;-0,3;-0,01;24,18;24186,2;15;318;102;420
0,42;0,05;0,15;0,25;60;-0,3;-0,01;24,02;16227,34;10;332;88;420
0,42;0,21;0,05;0,25;80;-0,5;-0,01;23,95;16811,1;10;372;48;420
0,42;0,05;0,15;0,25;60;-0,5;-0,08;23,7;16206,88;10;332;88;420
0,42;0,16;0,15;0,2;60;-0,5;-0,08;23,55;17351,11;15;320;100;420
0,42;0,16;0,05;0,2;105;-0,3;-0,01;21,43;17472,78;10;385;35;420
0,42;0,11;0,15;0,25;105;-0,3;-0,08;21,13;28741,94;15;334;86;420
0,42;0,16;0,1;0,3;80;-0,5;0,05;21,04;22858,89;15;332;88;420
0,42;0,01;0,1;0,25;60;-0,5;-0,08;21;14074,72;10;354;66;420
0,42;0,05;0,1;0,3;80;-0,5;-0,08;20,73;22310,8;15;333;87;420
0,42;0,11;0,05;0,25;80;-0,5;0,05;20,34;18931,57;15;365;55;420
0,42;0,01;0,05;0,3;60;-0,5;-0,01;20,11;15848,85;15;358;62;420
0,42;0,05;0,15;0,25;60;-0,5;-0,01;20,05;16211,88;10;332;88;420
0,42;0,11;0,05;0,25;80;-0,5;-0,08;19,45;18921,31;15;364;56;420
0,42;0,11;0,05;0,25;80;-0,5;-0,01;19,33;18927,41;15;364;56;420
0,42;0,21;0,05;0,2;60;-0,3;-0,08;18,42;16476,51;15;360;60;420
0,42;0,01;0,1;0,25;60;-0,5;0,05;18,35;14049,85;10;354;66;420
0,42;0,11;0,15;0,25;105;-0,3;0,05;18,3;28759,71;15;334;86;420
0,42;0,21;0,05;0,25;80;-0,5;0,05;18,14;16816,91;10;372;48;420
0,42;0,16;0,05;0,25;60;-0,5;-0,08;18,13;16545,66;15;355;65;420
0,42;0,16;0,05;0,2;105;-0,3;0,05;17,51;17476,7;10;385;35;420
0,42;0,21;0,15;0,3;80;-0,3;0,05;16,99;24178,52;15;318;102;420
0,42;0,21;0,05;0,2;60;-0,3;-0,01;16,51;16483,02;15;360;60;420
0,42;0,16;0,15;0,2;60;-0,3;-0,01;16,5;17469,21;15;319;101;420
0,42;0,16;0,1;0,35;60;-0,5;0,05;16,15;17581,94;10;331;89;420
0,42;0,21;0,05;0,2;60;-0,3;0,05;15,98;16487,52;15;361;59;420
0,42;0,11;0,05;0,25;80;-0,3;-0,08;15,82;18924,94;15;364;56;420
0,42;0,21;0,05;0,35;105;-0,5;-0,08;15,61;25893,88;15;361;59;420
0,42;0,01;0,05;0,3;60;-0,5;0,05;14,92;15854,04;15;358;62;420
0,42;0,11;0,05;0,25;80;-0,3;0,05;14,88;18937,03;15;365;55;420
0,42;0,11;0,1;0,25;80;-0,3;0,05;14,77;21535,2;15;339;81;420
0,42;0,01;0,1;0,25;60;-0,3;0,05;14,74;14053,46;10;354;66;420
0,42;0,16;0,05;0,25;60;-0,5;-0,01;14,74;16549,05;15;355;65;420
0,42;0,11;0,05;0,25;80;-0,3;-0,01;14,72;18932,02;15;364;56;420
0,42;0,05;0,1;0,3;80;-0,3;-0,01;14,62;22329,38;15;333;87;420
0,42;0,01;0,1;0,25;60;-0,3;-0,08;14,58;14081,14;10;354;66;420
0,42;0,11;0,1;0,25;80;-0,3;-0,08;14,34;21524,48;15;338;82;420
0,42;0,16;0,05;0,25;60;-0,3;-0,08;14,3;16553,26;15;355;65;420
0,42;0,16;0,05;0,25;60;-0,3;-0,01;14,22;16557,9;15;355;65;420
0,42;0,11;0,1;0,25;80;-0,3;-0,01;13,9;21530,9;15;338;82;420
0,42;0,11;0,05;0,35;60;-0,5;-0,01;13,87;17467,55;15;347;73;420
0,42;0,11;0,05;0,35;60;-0,5;0,05;13,74;17471,74;15;348;72;420
0,42;0,01;0,1;0,25;60;-0,5;-0,01;13,05;14051,1;10;353;67;420
0,42;0,05;0,05;0,3;60;-0,3;0,05;12,94;16833,24;15;352;68;420
0,42;0,11;0,15;0,25;105;-0,3;-0,01;12,61;28758,47;15;334;86;420
0,42;0,05;0,1;0,3;80;-0,5;0,05;11,86;22321,69;15;334;86;420
0,42;0,05;0,1;0,25;60;-0,5;-0,01;11,82;17447,09;15;325;95;420
0,42;0,16;0,05;0,3;80;-0,5;-0,08;11,27;20479,76;15;357;63;420
