ID Маркета;Исход первого входа;Цена первого входа;Признак Risk-Free;PnL (Сумма);PnL (%);Вложено всего
0xc8fa22cce852a03d827a4e182793035fa8cc8ceeaabf6c89dcb2a1ff7a43ccd8;Up;0,72;Да;-18,46;-8,87;208,09
0xc900fcb9a946138aa8653dfa04ffc8788e1dd5534e998e674e2229a2cf0b5885;Up;0,57;Да;263,00;45,95;572,33
0xc975551124b21e6e1d5302cbec20f511c74f0306a305360bf21bb1b58927d50f;Down;0,54;Да;21,24;6,82;311,28
0xca16ed80d4e1bf6357a51dcde7654d50fd73b76425590225bb413162e54c83a0;Down;0,79;Да;701,70;14,70;4774,93
0xcb02e6ea9bcfd71283491e59113cda2745a225d822e75b2b6f4ee4e568771091;Down;0,52;Да;357,30;4,16;8596,67
0xcb14170a02258b55680094fc6cefc3f7d86e0247c5371762a3d11ccfd5632c9e;Up;0,48;Нет;-1470,23;-79,90;1840,07
0xcb310ee00c40ea4db5f7d5db330ea40daef50088d8896738619f1e1d7ed0ed31;Up;0,54;Да;37,37;1,55;2417,07
0xcb31140a0b2cacba55b1265a0a128b246715a8ab8595b08283e2193b39b4769a;Up;0,38;Да;74,38;39,90;186,44
0xcb457041398f9ec03f63a689c4b75f2e787b07cd542309e9ed44fad74f46d061;Up;0,54;Нет;124,86;31,10;401,50
0xcc079c060ff8e9d235080c65f1a0412194aa0d1a38101844b770a1e1289d0faa;Up;0,47;Да;7,90;4,79;165,05
0xcc28b2a37c679fdc29105438156aed9dbf9ce145393944b95ac426fb86b5b67e;Down;0,41;Нет;5,27;4,15;126,95
0xcc68fef580454555c3566d4d5b2af94a4e5405d46017e7273d612b7f798a4532;Down;0,59;Да;37,87;13,67;277,12
0xcceef53b68ba5779ececcf42b52314d80fc0ea7c7630624186818e64f7c1101a;Up;0,35;Нет;-5,50;-0,46;1204,43
0xccf937b4b311f2b1336890d98dfbe44c7d0cdea5adff5f5ef5ff2a25884850fb;Down;0,51;Да;622,32;16,05;3877,86
0xcd2fd7c58772a9d9ec5f383e853c9835fc8b6106b937ca2b7dd67d2b56375a6a;Up;0,55;Да;11,53;3,95;291,48
0xcdc418bf5f9620609b0efdce43978ed5127090a185f8f6dd38825e8fa4764986;Down;0,47;Нет;-676,29;-8,09;8358,21
0xce466ae151fd0bd7b5888f01b353c4c3c938a278efe3f23980662d40f216e549;Down;0,46;Нет;94,98;16,72;568,00
0xce6a1d42b95e7511807b93bcd1940a721f17ee90da642416a404f61157f1336e;Down;0,58;Нет;-384,17;-15,85;2423,60
0xce8a0b8035547092f867dff141e8b5b3e398d2db7fe4086349ffafdf5f39019f;Up;0,55;Нет;-11,07;-1,22;906,10
0xcf07095e787dbd5b2c006c4a781ded0b1b62cb9a66f575dc5db24eb5ce07dbd2;Down;0,45;Нет;331,84;342,17;96,98
0xcf97241d8a2681a0068f86947535903f99ccf42ac32dbe1cdc2838a5e158aec6;Down;0,54;Нет;288,85;18,23;1584,31
0xd0196ff532e820e56a23e23efd265c1fdf0c0e2e91b753735a520b0bd9dbf532;Down;0,53;Нет;75,03;2,71;2770,47
0xd0522afda1d306ed3b07850de63be907bcad8d10244fe285960c5ba1449a0529;Down;0,52;Нет;-1991,18;-32,82;6067,36
